date,site,counts,high_f,low_f,precip_in,snow_in,snowDepth_in,high_c,low_c,mean_c,ddPrep,day,year,dd,dd2,daylight,daylight2
2009-04-05,Cripple Creek,4,52,32,0.02,0,0,11.1111111111111,0,5.55555555555556,5.55555555555556,95,2009,109.333333333333,11953.7777777778,12.8675343398287,165.573439986671
2009-04-05,Hayden Creek,61,52,32,0.02,0,0,11.1111111111111,0,5.55555555555556,5.55555555555556,95,2009,109.333333333333,11953.7777777778,12.8675343398287,165.573439986671
2009-04-05,Shadow Brook,17,52,32,0.02,0,0,11.1111111111111,0,5.55555555555556,5.55555555555556,95,2009,109.333333333333,11953.7777777778,12.8675343398287,165.573439986671
2009-04-07,Hayden Creek,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2009,118.453703703704,14031.2799211248,12.9630733936994,168.041271810438
2009-04-07,Shadow Brook,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2009,118.453703703704,14031.2799211248,12.9630733936994,168.041271810438
2009-04-09,Cripple Creek,1,39,28,0,0,0,3.88888888888889,-2.22222222222222,0.833333333333333,0.833333333333333,99,2009,121.611111111111,14789.262345679,13.0581360804239,170.514917894869
2009-04-09,Hayden Creek,35,39,28,0,0,0,3.88888888888889,-2.22222222222222,0.833333333333333,0.833333333333333,99,2009,121.611111111111,14789.262345679,13.0581360804239,170.514917894869
2009-04-10,Hayden Creek,25,55,32,0,0,0,12.7777777777778,0,6.38888888888889,6.38888888888889,100,2009,128,16384,13.1054701193747,171.753347049822
2009-04-10,Shadow Brook,1,55,32,0,0,0,12.7777777777778,0,6.38888888888889,6.38888888888889,100,2009,128,16384,13.1054701193747,171.753347049822
2009-04-12,Hayden Creek,29,53.1,28.9,0.4,0,0,11.7222222222222,-1.72222222222222,5,5,102,2009,143.555555555556,20608.1975308642,13.199704379112,174.232195695949
2009-04-12,Leatherstocking Creek,13,53.1,28.9,0.4,0,0,11.7222222222222,-1.72222222222222,5,5,102,2009,143.555555555556,20608.1975308642,13.199704379112,174.232195695949
2009-04-12,Shadow Brook,39,53.1,28.9,0.4,0,0,11.7222222222222,-1.72222222222222,5,5,102,2009,143.555555555556,20608.1975308642,13.199704379112,174.232195695949
2009-04-14,Hayden Creek,20,48.9,32,0,0,0,9.38888888888889,0,4.69444444444444,4.69444444444444,104,2009,151.277777777778,22884.9660493827,13.2933051977973,176.711963081784
2009-04-14,Leatherstocking Creek,1,48.9,32,0,0,0,9.38888888888889,0,4.69444444444444,4.69444444444444,104,2009,151.277777777778,22884.9660493827,13.2933051977973,176.711963081784
2009-04-14,Shadow Brook,1,48.9,32,0,0,0,9.38888888888889,0,4.69444444444444,4.69444444444444,104,2009,151.277777777778,22884.9660493827,13.2933051977973,176.711963081784
2009-04-16,Cripple Creek,69,62.1,39,0,0,0,16.7222222222222,3.88888888888889,10.3055555555556,10.3055555555556,106,2009,171.027777777778,29250.5007716049,13.3862029985174,179.190430717515
2009-04-16,Hayden Creek,1,62.1,39,0,0,0,16.7222222222222,3.88888888888889,10.3055555555556,10.3055555555556,106,2009,171.027777777778,29250.5007716049,13.3862029985174,179.190430717515
2009-04-16,Shadow Brook,13,62.1,39,0,0,0,16.7222222222222,3.88888888888889,10.3055555555556,10.3055555555556,106,2009,171.027777777778,29250.5007716049,13.3862029985174,179.190430717515
2009-04-17,Cripple Creek,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2009,181.62037037037,32985.9589334705,13.4323653411086,180.428438657017
2009-04-17,Hayden Creek,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2009,181.62037037037,32985.9589334705,13.4323653411086,180.428438657017
2009-04-17,Shadow Brook,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2009,181.62037037037,32985.9589334705,13.4323653411086,180.428438657017
2009-04-18,Leatherstocking Creek,2,68,NA,0,0,0,20,NA,NA,NA,108,2009,192.5,37056.25,13.4783238459571,181.665213696496
2009-04-18,Shadow Brook,40,68,NA,0,0,0,20,NA,NA,NA,108,2009,192.5,37056.25,13.4783238459571,181.665213696496
2009-04-20,Hayden Creek,2,48.9,37.9,0.2,0,0,9.38888888888889,3.27777777777778,6.33333333333333,6.33333333333333,110,2009,210,44100,13.5695891419043,184.133749480086
2009-04-20,Leatherstocking Creek,1,48.9,37.9,0.2,0,0,9.38888888888889,3.27777777777778,6.33333333333333,6.33333333333333,110,2009,210,44100,13.5695891419043,184.133749480086
2009-04-20,Shadow Brook,4,48.9,37.9,0.2,0,0,9.38888888888889,3.27777777777778,6.33333333333333,6.33333333333333,110,2009,210,44100,13.5695891419043,184.133749480086
2013-04-15,Hayden Creek,20,63,50,0,0,0,17.2222222222222,10,13.6111111111111,13.6111111111111,105,2013,141.972222222222,20156.111882716,13.3398464905177,177.951504390576
2013-04-15,Shadow Brook,74,63,50,0,0,0,17.2222222222222,10,13.6111111111111,13.6111111111111,105,2013,141.972222222222,20156.111882716,13.3398464905177,177.951504390576
2013-04-16,Hayden Creek,58,57,46.9,0.47,0,0,13.8888888888889,8.27777777777778,11.0833333333333,11.0833333333333,106,2013,153.055555555556,23426.0030864198,13.3862029985174,179.190430717515
2013-04-16,Shadow Brook,29,57,46.9,0.47,0,0,13.8888888888889,8.27777777777778,11.0833333333333,11.0833333333333,106,2013,153.055555555556,23426.0030864198,13.3862029985174,179.190430717515
2013-04-17,Hayden Creek,63,55.9,30.9,0,0,0,13.2777777777778,-0.611111111111112,6.33333333333333,6.33333333333333,107,2013,159.388888888889,25404.8179012346,13.4323653411086,180.428438657017
2013-04-17,Shadow Brook,60,55.9,30.9,0,0,0,13.2777777777778,-0.611111111111112,6.33333333333333,6.33333333333333,107,2013,159.388888888889,25404.8179012346,13.4323653411086,180.428438657017
2013-04-18,Shadow Brook,111,62.1,30.9,0,0,0,16.7222222222222,-0.611111111111112,8.05555555555556,8.05555555555556,108,2013,167.444444444444,28037.6419753086,13.4783238459571,181.665213696496
2013-04-21,Shadow Brook,30,44.1,30,0,0,0,6.72222222222222,-1.11111111111111,2.80555555555556,2.80555555555556,111,2013,186.083333333333,34627.0069444444,13.6148750523523,185.364822691166
2013-04-22,Shadow Brook,12,53.1,30,0,0,0,11.7222222222222,-1.11111111111111,5.30555555555556,5.30555555555556,112,2013,191.388888888889,36629.7067901235,13.6599153484489,186.593287326791
